2016-08-13 18:55:55,696--fgbdgrg
2016-08-13 18:56:32,209--asdhier
2016-08-13 18:56:32,209--fgbdgrg
2016-08-13 18:57:42,815--INFO:asdhier
2016-08-13 18:57:42,816--WARNING:fgbdgrg
2016-08-13 18:58:07,795--WARNING:fgbdgrg
2016-08-13 18:58:25,499--INFO:asdhier
2016-08-13 18:58:25,499--DEBUG:asdfdfggfb
2016-08-13 18:58:25,499--WARNING:fgbdgrg
2016-08-13 18:58:41,432--INFO:asdhier
2016-08-13 18:58:41,432--DEBUG:asdfdfggfb
2016-08-13 18:58:41,432--WARNING:fgbdgrg
2016-08-13 19:01:24,597--INFO:asdfdssd
2016-08-13 19:01:24,597--INFO:a2345234
2016-08-13 19:01:24,598--DEBUG:234b4jbthrfvgfidvnfgbgf
